"geoid","GEO.display-label","occ","oou","rou","mhi_occ","mhi_oou","mhi_rou","mhc_occ","mhc_oou","mhc_rou"
"25013802000","Census Tract 8020, Hampden County, Massachusetts",1138,161,977,18559,72865,15117,777,1073,704
"25013802100","Census Tract 8021, Hampden County, Massachusetts",2403,937,1466,37245,84766,16944,945,1430,857
"25013802200","Census Tract 8022, Hampden County, Massachusetts",1132,203,929,19944,70179,18581,888,1133,864
"25013802300","Census Tract 8023, Hampden County, Massachusetts",2249,647,1602,30537,48281,20000,996,1101,946
"25013802400","Census Tract 8024, Hampden County, Massachusetts",1557,1409,148,66042,69675,25200,1282,1260,1408
"25013802500","Census Tract 8025, Hampden County, Massachusetts",2596,2108,488,65577,67421,43110,1133,1157,986
"25013802601","Census Tract 8026.01, Hampden County, Massachusetts",2481,1196,1285,43984,67622,26426,1143,1312,1051
"25013802602","Census Tract 8026.02, Hampden County, Massachusetts",939,730,209,57734,61000,41125,1178,1171,1226
"25013810100","Census Tract 8101, Hampden County, Massachusetts",2507,1830,677,53693,72075,17254,850,1161,663
"25013810200","Census Tract 8102, Hampden County, Massachusetts",1091,803,288,43173,56958,29355,859,866,857
"25013810300","Census Tract 8103, Hampden County, Massachusetts",1261,887,374,47432,60969,30500,1018,1165,852
"25013810403","Census Tract 8104.03, Hampden County, Massachusetts",1686,798,888,46395,61765,36688,837,789,849
"25013810404","Census Tract 8104.04, Hampden County, Massachusetts",1499,1211,288,65398,68063,63145,1047,1248,925
"25013810412","Census Tract 8104.12, Hampden County, Massachusetts",2457,2090,367,,,,1259,1289,793
"25013810414","Census Tract 8104.14, Hampden County, Massachusetts",2451,2111,340,74511,101067,31700,1369,1446,923
"25013810601","Census Tract 8106.01, Hampden County, Massachusetts",1970,1181,789,46040,52346,35662,831,1005,767
"25013810602","Census Tract 8106.02, Hampden County, Massachusetts",1039,1029,10,83031,83344,,899,906,
"25013810700","Census Tract 8107, Hampden County, Massachusetts",2587,1480,1107,55558,74083,26705,918,1072,723
"25013810800","Census Tract 8108, Hampden County, Massachusetts",1648,623,1025,40080,57287,31250,905,1051,876
"25013810901","Census Tract 8109.01, Hampden County, Massachusetts",845,179,666,30451,41250,25400,772,1257,755
"25013810902","Census Tract 8109.02, Hampden County, Massachusetts",1738,828,910,47500,53929,40600,935,1124,878
"25013811000","Census Tract 8110, Hampden County, Massachusetts",2006,1201,805,42989,57656,36404,912,1172,830
"25013811101","Census Tract 8111.01, Hampden County, Massachusetts",1906,646,1260,45000,59295,28869,902,1227,855
"25013811102","Census Tract 8111.02, Hampden County, Massachusetts",2447,1158,1289,34245,60872,24892,791,1031,767
"25013811200","Census Tract 8112, Hampden County, Massachusetts",2020,1459,561,60643,71344,38995,999,1129,897
"25013811301","Census Tract 8113.01, Hampden County, Massachusetts",2489,1319,1170,56110,84637,40192,862,939,821
"25013811302","Census Tract 8113.02, Hampden County, Massachusetts",2298,1955,343,,,,999,967,1232
"25013811400","Census Tract 8114, Hampden County, Massachusetts",942,118,824,19670,43750,17783,607,1052,542
"25013811500","Census Tract 8115, Hampden County, Massachusetts",773,10,763,14724,,14688,583,,576
"25013811600","Census Tract 8116, Hampden County, Massachusetts",1205,140,1065,11863,51429,10996,634,1172,550
"25013811700","Census Tract 8117, Hampden County, Massachusetts",996,145,851,15000,46473,12966,453,1022,354
"25013811800","Census Tract 8118, Hampden County, Massachusetts",1501,468,1033,37188,51992,29970,828,1244,734
"25013811900","Census Tract 8119, Hampden County, Massachusetts",1475,1080,395,71352,94667,52975,1230,1350,1059
"25013812001","Census Tract 8120.01, Hampden County, Massachusetts",1355,414,941,27019,69531,18750,734,1071,663
"25013812002","Census Tract 8120.02, Hampden County, Massachusetts",1774,733,1041,38409,73179,24738,908,1296,728
"25013812101","Census Tract 8121.01, Hampden County, Massachusetts",2039,1909,130,,,,1195,1257,860
"25013812103","Census Tract 8121.03, Hampden County, Massachusetts",1349,214,1135,32172,40000,31213,828,895,821
"25013812104","Census Tract 8121.04, Hampden County, Massachusetts",1915,959,956,52060,70057,37958,1000,1202,878
